Time,GuHCl_Denature_A214,GuHCl_Denature_A280,Histone_A214,Histone_A280,Histone_Heat_Denatured_A214,Histone_Heat_Denatured_A280,GuHCl_Refolded_A214,GuHCl_Refolded_A280,SEC_Standard_A214,SEC_Standard_A280
0.6641666667,-19.2284584,-0.4925727844,-3.264427185,0.1511573792,-0.3800392151,0.105381012,-0.6942749023,0.06055831909,0.5979537964,0.3838539124
0.6708333333,-18.8331604,-0.4925727844,-3.242492676,0.1516342163,-0.3967285156,0.1058578491,-0.6866455078,0.05865097046,0.6084442139,0.3905296326
0.6775,-18.43357086,-0.4940032959,-3.239631653,0.1540184021,-0.4067420959,0.1063346863,-0.657081604,0.05865097046,0.6151199341,0.3981590271
0.6841666667,-18.03398132,-0.4978179932,-3.259181976,0.156879425,-0.4348754883,0.1077651978,-0.6189346313,0.06198883057,0.6155967712,0.4062652588
0.6908333333,-17.61817932,-0.5030632019,-3.286361694,0.1592636108,-0.4658699036,0.1101493835,-0.5822181702,0.06675720215,0.6260871887,0.4143714905
0.6975,-17.18521118,-0.5087852478,-3.318786621,0.1621246338,-0.4715919495,0.1120567322,-0.5555152893,0.07152557373,0.6337165833,0.4215240479
0.7041666667,-16.75748825,-0.5149841309,-3.355503082,0.1649856567,-0.4639625549,0.114440918,-0.5497932434,0.07486343384,0.6508827209,0.4277229309
0.7108333333,-16.30401611,-0.5211830139,-3.404140472,0.1654624939,-0.44298172,0.1158714294,-0.5550384521,0.07677078247,0.6675720215,0.4343986511
0.7175,-15.85149765,-0.5259513855,-3.44991684,0.1635551453,-0.4315376282,0.1153945923,-0.5793571472,0.07724761963,0.6909370422,0.4410743713
0.7241666667,-15.39611816,-0.5292892456,-3.485202789,0.1616477966,-0.4205703735,0.1130104065,-0.6198883057,0.07629394531,0.7076263428,0.4477500916
0.7308333333,-14.96362686,-0.5307197571,-3.50189209,0.1611709595,-0.4262924194,0.1111030579,-0.6656646729,0.07295608521,0.6980895996,0.4534721375
0.7375,-14.544487,-0.5297660828,-3.495693207,0.1616477966,-0.458240509,0.1101493835,-0.7181167603,0.06866455078,0.6890296936,0.4596710205
0.7441666667,-14.12200928,-0.5292892456,-3.473758698,0.1606941223,-0.497341156,0.1087188721,-0.7457733154,0.06532669067,0.678062439,0.4663467407
0.7508333333,-13.72098923,-0.5297660828,-3.437995911,0.1587867737,-0.5397796631,0.1072883606,-0.7600784302,0.0638961792,0.6756782532,0.4725456238
0.7575,-13.30280304,-0.5326271057,-3.412723541,0.1559257507,-0.5598068237,0.1077651978,-0.7638931274,0.06341934204,0.6804466248,0.4777908325
